Participant,Condition,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9
P01F,1,1,0,0,1,0,0,1,0,0
P02M,1,0,0,0,0,0,0,0,0,0
P02M,2,0,0,0,0,0,0,0,0,0
P03M,1,1,0,0,0,0,0,1,0,1
P03M,2,1,0,0,0,0,0,1,0,1
P05M,2,0,0,0,0,0,0,0,0,0
P05M,1,1,0,0,0,0,1,0,0,0
P06M,2,1,0,1,1,0,1,1,0,1
P06M,1,1,0,1,1,0,1,1,0,0
P07M,1,1,1,0,1,1,1,0,1,0
P07M,2,1,1,0,1,1,1,1,1,1
P08M,2,1,0,0,0,0,0,1,0,0
P08M,1,0,1,0,0,0,0,1,0,0
P09F,1,0,0,0,0,0,0,0,0,1
P09F,2,0,0,0,0,1,0,0,0,1
P10M,2,1,1,1,1,1,1,0,0,1
P10M,1,1,1,1,1,0,1,0,0,1
P11M,1,0,1,1,1,0,0,1,0,1
P11M,2,1,1,1,1,0,0,1,0,0
P12M,1,0,1,1,0,0,0,1,0,0
P12M,2,0,1,0,0,1,0,1,0,0
P13F,2,1,1,0,0,1,0,1,1,1
P13F,1,0,1,0,1,1,0,1,1,1
P14M,2,1,1,1,1,1,1,1,1,1
P14M,1,1,1,1,1,1,1,1,1,1
P15F,1,1,1,1,1,1,0,1,0,1
P15F,2,1,1,0,1,1,0,0,0,1
P16F,2,1,1,0,1,1,1,1,1,1
P16F,1,1,1,0,1,1,1,1,1,1
P17F,2,1,1,1,1,0,1,0,0,1
P17F,1,1,1,1,1,1,1,0,0,1
P18F,2,0,1,0,1,0,0,0,0,1
P18F,1,1,1,1,1,0,1,1,0,0
P19F,1,1,1,1,1,1,1,1,0,0
P19F,2,1,1,1,1,1,1,1,0,1
P20F,1,1,1,1,1,1,0,1,0,1
P20F,2,1,1,1,1,1,1,1,0,1
P21F,2,1,1,0,1,1,1,1,1,1
P21F,1,1,1,0,1,1,1,1,1,1
P22M,2,1,1,1,0,1,1,0,0,1
P22M,1,1,1,1,0,1,1,1,0,1
P23F,1,1,1,0,1,1,1,1,1,1
P23F,2,1,1,1,1,1,1,1,1,1
P24M,2,1,1,1,1,1,1,0,0,0
P24M,1,1,1,1,1,1,1,0,1,0
P25F,2,1,1,1,1,1,1,0,1,1
P25F,1,0,1,1,1,1,1,0,1,1
P26F,1,1,1,0,1,1,1,1,1,1
P26F,2,0,1,0,1,1,1,1,1,1
P27F,2,1,1,1,1,1,1,0,0,1
P27F,1,1,1,1,1,1,1,0,0,1
P28F,2,0,1,1,1,1,0,1,0,1
P28F,1,0,1,1,1,1,0,0,0,1
P29M,1,1,1,1,1,1,1,1,0,1
P29M,2,1,1,1,1,1,1,1,0,1
P30F,2,1,1,0,1,1,1,0,1,1
P30F,1,1,1,1,1,1,1,0,0,1
P31F,1,1,0,0,1,1,0,0,0,1
P31F,2,1,1,0,1,1,0,0,0,1
